index,nom,item_brut,var_pieces,var_attaque,cout_sp,zone_a,zone_b,string_id,octets_bruts
0,Green Shell,0x1000,0x601B,0x2010,3,Trash Pieces,Trash Pieces,8,0900130009001b60102028003c0000100010
1,Fire Flower,0x1001,0x6000,0x2019,4,Pump Pieces,Pump Pieces,17,0a0014000a000060192028003b0001100110
2,Jump Helmet,0x1002,0x6006,0x2016,6,Flab Pieces,Flab Pieces,13,0b0015000b000660162028003e0002100210
3,Yoo Who Cannon,0x1003,0x6010,0x2012,7,Toad Pieces,Toad Pieces,4,0c0016000c001060122028003a0003100310
4,Super Bouncer,0x1004,0x600A,0x2017,7,Energy Pieces,Energy Pieces,14,0d0017000d000a60172028003d0004100410
5,Mighty Meteor,0x1005,0x600D,0x2018,8,Clinic Pieces,Clinic Pieces,16,12001c0012000d60182028006e0005100510
6,Spin Pipe,0x1006,0x6003,0x2011,10,Plack Pieces,Plack Pieces,3,0f0019000f000360112028006f0006100610
7,Snack Basket,0x1007,0x6012,0x201A,14,Dimble Pieces,Dimble Pieces,21,11001b00110012601a202800700007100910
8,Magic Window,0x1008,0x6018,0x201B,18,Castle Pieces,Castle Pieces,19,0e0018000e0018601b202800720008100710
9,Falling Star,0x1010,0x6015,0x2013,20,Peach Pieces,Peach Pieces,24,10001a001000156013202800710010100810
