index,salle,identifiant,type_tresor,type_tresor_brut,type_item,item_brut,id_item,nom_item,montant,max_hits,quantity,x,y,z,exploitable
0,0,0,bloc ?,1,consommable,0x2000,0,Mushroom,3,1,2,248,560,392,1
1,0,1,bloc ?,1,consommable,0x2017,23,Retry Clock,1,1,0,480,560,456,1
2,0,2,bloc ?,1,pieces,0xFFFF,,pieces,10,10,0,816,560,88,1
3,0,3,bloc ?,1,consommable,0x2010,16,1-Up Mushroom,1,1,0,560,560,88,1
4,0,4,bloc ?,1,pieces,0xFFFE,,pieces,5,1,1,640,560,88,1
5,1,248,bloc ?,1,consommable,0x2000,0,Mushroom,1,1,0,108,368,168,1
6,1,249,bloc ?,1,pieces,0xFFFF,,pieces,10,10,0,108,368,80,1
7,2,621,bloc ?,1,pieces,0xFFFB,,pieces,100,1,4,424,352,280,1
8,3,5,bloc ?,1,consommable,0x2001,1,Super Mushroom,2,1,1,368,368,288,1
9,4,622,bloc ?,1,consommable,0x2011,17,1-Up Deluxe,3,1,2,1816,312,208,1
10,5,7,bloc ?,1,equipement,0x4004,4,Fighter Wear,1,1,0,156,368,312,1
11,5,614,bloc ?,1,pieces,0xFFFF,,pieces,10,10,0,480,368,76,1
12,6,9,bloc ?,1,pieces,0xFFFE,,pieces,5,1,1,712,368,312,1
13,7,10,bloc ?,1,consommable,0x200B,11,Syrup Jar,1,1,0,88,544,440,1
14,8,12,bloc ?,1,consommable,0x2000,0,Mushroom,1,1,0,272,368,272,1
15,8,13,bloc ?,1,pieces,0xFFFF,,pieces,10,10,0,408,368,272,1
16,9,14,bloc ?,1,consommable,0x2007,7,Nut,1,1,0,216,560,224,1
17,9,15,bloc ?,1,equipement,0x4002,2,Picnic Wear,1,1,0,696,560,40,1
18,10,197,bloc ?,1,consommable,0x200F,15,Star Candy,1,1,0,1168,344,200,1
19,10,198,bloc ?,1,equipement,0x4023,35,Guardian Socks,1,1,0,1216,344,200,1
20,11,637,bloc brique,4,consommable,0x2004,4,Hot Drumstick,2,1,1,124,300,0,1
21,12,16,bloc ?,1,pieces,0xFFFC,,pieces,50,1,3,72,543,88,1
22,12,17,bloc ?,1,consommable,0x200D,13,Ultrasyrup Jar,1,1,0,376,376,104,1
23,12,18,bloc ?,1,pieces,0xFFFB,,pieces,100,1,4,424,376,104,1
24,12,19,bloc ?,1,pieces,0xFFFE,,pieces,50,10,1,616,192,104,1
25,12,638,bloc brique,4,pieces,0xFFFD,,pieces,10,1,2,464,106,0,1
26,13,20,bloc ?,1,consommable,0x200A,10,Max Nut,1,1,0,52,416,152,1
27,13,21,bloc ?,1,pieces,0xFFFC,,pieces,50,1,3,448,504,128,1
28,13,261,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,160,320,88,1
29,13,262,haricot,0,consommable,0x2014,20,Heart Bean,1,1,0,160,504,88,1
30,13,263,haricot,0,consommable,0x2016,22,Power Bean,2,2,0,448,544,8,1
31,14,592,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,96,376,0,1
32,14,593,haricot,0,consommable,0x2015,21,Special Bean,1,1,0,64,512,0,1
33,14,704,bloc ?,1,consommable,0x2002,2,Ultra Mushroom,1,1,0,544,384,96,1
34,14,705,bloc ?,1,pieces,0xFFFF,,pieces,10,10,0,608,384,96,1
35,15,34,bloc ?,1,equipement,0x403B,59,Big Stomp Boots,1,1,0,152,504,328,1
36,15,35,bloc ?,1,pieces,0xFFFC,,pieces,50,1,3,320,768,144,1
37,15,36,bloc ?,1,pieces,0xFFFE,,pieces,5,1,1,368,768,144,1
38,15,31,haricot,0,consommable,0x2014,20,Heart Bean,0,0,0,728,536,384,1
39,15,256,haricot,0,consommable,0x2014,20,Heart Bean,1,1,0,440,536,184,1
40,15,257,haricot,0,consommable,0x2015,21,Special Bean,2,2,0,640,576,136,1
41,15,258,haricot,0,consommable,0x2014,20,Heart Bean,3,3,0,729,568,40,1
42,15,260,haricot,0,consommable,0x2015,21,Special Bean,5,5,0,368,848,0,1
43,16,37,bloc ?,1,consommable,0x2002,2,Ultra Mushroom,1,1,0,112,144,88,1
44,16,38,bloc ?,1,pieces,0xFFFE,,pieces,5,1,1,64,422,88,1
45,16,135,bloc brique,4,pieces,0xFFFC,,pieces,50,1,3,768,408,0,1
46,16,639,bloc brique,4,consommable,0x2004,4,Hot Drumstick,3,1,2,424,104,0,1
47,17,452,haricot,0,consommable,0x2016,22,Power Bean,0,0,0,160,336,0,1
48,18,22,bloc ?,1,pieces,0xFFFC,,pieces,50,1,3,212,560,104,1
49,18,23,bloc ?,1,consommable,0x2012,18,Refreshing Herb,1,1,0,306,560,104,1
50,18,24,bloc ?,1,pieces,0xFFFB,,pieces,100,1,4,416,480,104,1
51,18,25,bloc ?,1,consommable,0x200C,12,Supersyrup Jar,1,1,0,102,480,104,1
52,18,26,bloc ?,1,equipement,0x4005,5,Heart Wear,1,1,0,316,428,104,1
53,18,27,bloc ?,1,pieces,0xFFFE,,pieces,50,10,1,196,428,104,1
54,18,28,bloc ?,1,consommable,0x200F,15,Star Candy,1,1,0,24,256,168,1
55,19,264,haricot,0,consommable,0x2016,22,Power Bean,0,0,0,32,128,40,1
56,19,640,bloc brique,4,pieces,0xFFFE,,pieces,5,1,1,242,528,0,1
57,19,641,bloc brique,4,consommable,0x2004,4,Hot Drumstick,1,1,0,416,528,0,1
58,20,473,haricot,0,consommable,0x2016,22,Power Bean,0,0,0,344,160,80,1
59,20,745,bloc ?,1,consommable,0x200A,10,Max Nut,1,1,0,152,256,120,1
