attaque,piece,nb_pieces,pieces,variable,rang_bit,salle,var_pieces,var_attaque,item_brut,lot
Green Shell,0,1,0,0xE700,1792,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x601B,0x2010,0x1000,Trash Pieces
Green Shell,1,1,1,0xE701,1793,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x601B,0x2010,0x1000,Trash Pieces
Green Shell,2,1,2,0xE702,1794,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x601B,0x2010,0x1000,Trash Pieces
Green Shell,3,1,3,0xE703,1795,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x601B,0x2010,0x1000,Trash Pieces
Green Shell,4,1,4,0xE704,1796,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x601B,0x2010,0x1000,Trash Pieces
Green Shell,5,1,5,0xE705,1797,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x601B,0x2010,0x1000,Trash Pieces
Green Shell,6,1,6,0xE706,1798,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x601B,0x2010,0x1000,Trash Pieces
Green Shell,7,1,7,0xE707,1799,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x601B,0x2010,0x1000,Trash Pieces
Green Shell,8,1,8,0xE708,1800,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x601B,0x2010,0x1000,Trash Pieces
Green Shell,9,1,9,0xE709,1801,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x601B,0x2010,0x1000,Trash Pieces
Fire Flower,0,1,0,0xE757,1879,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x6000,0x2019,0x1001,Pump Pieces
Fire Flower,1,1,1,0xE758,1880,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x6000,0x2019,0x1001,Pump Pieces
Fire Flower,2,1,2,0xE759,1881,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x6000,0x2019,0x1001,Pump Pieces
Fire Flower,3,1,3,0xE749,1865,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x6000,0x2019,0x1001,Pump Pieces
Fire Flower,4,1,4,0xE75A,1882,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x6000,0x2019,0x1001,Pump Pieces
Fire Flower,5,1,5,0xE75B,1883,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x6000,0x2019,0x1001,Pump Pieces
Fire Flower,6,1,6,0xE754,1876,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x6000,0x2019,0x1001,Pump Pieces
Fire Flower,7,1,7,0xE75C,1884,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x6000,0x2019,0x1001,Pump Pieces
Fire Flower,8,1,8,0xE75D,1885,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x6000,0x2019,0x1001,Pump Pieces
Fire Flower,9,1,9,0xE75E,1886,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x6000,0x2019,0x1001,Pump Pieces
Jump Helmet,0,1,0,0xE781,1921,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x6006,0x2016,0x1002,Flab Pieces
Jump Helmet,1,4,1 2 3 4,0xE780,1920,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x6006,0x2016,0x1002,Flab Pieces
Jump Helmet,5,4,5 6 7 8,0xE782,1922,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x6006,0x2016,0x1002,Flab Pieces
Jump Helmet,9,1,9,0xE783,1923,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x6006,0x2016,0x1002,Flab Pieces
Super Bouncer,0,1,0,0xE7B5,1973,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x600A,0x2017,0x1004,Energy Pieces
Super Bouncer,1,4,1 2 3 4,0xE7BC,1980,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x600A,0x2017,0x1004,Energy Pieces
Super Bouncer,5,1,5,0xE7B4,1972,0x0E2,0x600A,0x2017,0x1004,Energy Pieces
Super Bouncer,6,1,6,0xE7B6,1974,0x0E2,0x600A,0x2017,0x1004,Energy Pieces
Super Bouncer,7,1,7,0xE7B7,1975,0x0E2,0x600A,0x2017,0x1004,Energy Pieces
Super Bouncer,8,1,8,0xE7B9,1977,0x0E2,0x600A,0x2017,0x1004,Energy Pieces
Super Bouncer,9,1,9,0xE7B8,1976,0x00A 0x00C 0x00E 0x00F 0x014 0x016 0x021 0x022 0x04D 0x062 0x065 0x068 0x0B9 0x0E1 0x0E7 0x212 0x213 0x214,0x600A,0x2017,0x1004,Energy Pieces
Mighty Meteor,0,1,0,0xE7C4,1988,0x02E 0x031 0x04C 0x0AA 0x0AB 0x0AE 0x18B 0x18F 0x19C 0x1AA 0x1AF 0x1E3 0x1E6,0x600D,0x2018,0x1005,Clinic Pieces
