carte,select_map,index_zone,zone,tresor_debut,tresor_fin,nb_tresors,musique
6,69,21,Pump Works,0,5,5,0
8,69,21,Pump Works,7,8,1,0
13,69,21,Pump Works,16,18,2,0
15,69,21,Pump Works,5,7,2,0
16,68,4,Plack Beach,20,21,1,49
17,68,4,Plack Beach,21,26,5,49
19,68,4,Plack Beach,26,31,5,49
20,69,21,Pump Works,13,14,1,0
21,69,21,Pump Works,10,12,2,0
22,69,21,Pump Works,12,13,1,0
23,69,21,Pump Works,9,10,1,0
25,69,21,Pump Works,18,20,2,0
29,69,21,Pump Works,8,9,1,0
31,68,4,Plack Beach,47,48,1,49
32,68,4,Plack Beach,48,55,7,49
34,69,21,Pump Works,14,16,2,0
35,68,4,Plack Beach,35,43,8,49
36,68,4,Plack Beach,43,47,4,49
37,616,6,Bowser Castle,237,242,5,53
38,616,6,Bowser Castle,242,244,2,53
39,616,6,Bowser Castle,244,246,2,53
40,616,6,Bowser Castle,246,251,5,53
41,616,6,Bowser Castle,251,259,8,53
42,616,6,Bowser Castle,259,261,2,53
44,616,6,Bowser Castle,265,267,2,53
46,493,2,Dimble Wood,82,88,6,51
48,493,2,Dimble Wood,120,122,2,51
49,493,2,Dimble Wood,126,128,2,51
50,493,2,Dimble Wood,128,129,1,51
51,493,2,Dimble Wood,129,131,2,51
53,68,4,Plack Beach,55,58,3,49
54,68,4,Plack Beach,58,60,2,49
61,68,4,Plack Beach,31,35,4,49
66,323,22,Flab Zone,190,191,1,0
70,493,2,Dimble Wood,78,82,4,51
71,493,2,Dimble Wood,88,92,4,51
72,493,2,Dimble Wood,99,103,4,51
73,493,2,Dimble Wood,103,104,1,51
74,493,2,Dimble Wood,104,110,6,51
76,493,2,Dimble Wood,122,126,4,51
77,323,22,Flab Zone,172,174,2,0
80,493,2,Dimble Wood,115,116,1,51
82,493,2,Dimble Wood,76,78,2,51
84,320,11,Bumpsy Plains,200,202,2,72
85,320,11,Bumpsy Plains,202,209,7,72
90,320,11,Bumpsy Plains,193,200,7,72
91,493,2,Dimble Wood,110,115,5,51
96,493,2,Dimble Wood,97,99,2,51
98,323,22,Flab Zone,174,176,2,0
99,323,22,Flab Zone,176,178,2,0
100,323,22,Flab Zone,178,181,3,0
102,493,2,Dimble Wood,116,120,4,51
112,616,6,Bowser Castle,270,272,2,53
113,408,5,Bowser Path,225,226,1,58
114,408,5,Bowser Path,226,228,2,58
115,408,5,Bowser Path,230,231,1,58
116,408,5,Bowser Path,231,232,1,58
118,323,22,Flab Zone,171,172,1,0
120,408,5,Bowser Path,218,220,2,58
121,408,5,Bowser Path,220,221,1,58
122,408,5,Bowser Path,221,224,3,58
123,408,5,Bowser Path,224,225,1,58
125,408,5,Bowser Path,228,230,2,58
126,408,5,Bowser Path,232,235,3,58
127,493,2,Dimble Wood,131,132,1,51
128,493,2,Dimble Wood,132,133,1,51
130,323,22,Flab Zone,181,183,2,0
131,323,22,Flab Zone,183,185,2,0
132,323,22,Flab Zone,185,188,3,0
133,323,22,Flab Zone,188,190,2,0
134,323,22,Flab Zone,191,193,2,0
135,320,11,Bumpsy Plains,209,211,2,72
136,320,11,Bumpsy Plains,211,214,3,72
141,616,6,Bowser Castle,273,275,2,53
142,616,6,Bowser Castle,269,270,1,53
144,616,6,Bowser Castle,267,268,1,53
145,616,6,Bowser Castle,268,269,1,53
150,616,6,Bowser Castle,275,280,5,53
151,616,6,Bowser Castle,272,273,1,53
153,616,6,Bowser Castle,280,282,2,53
155,404,8,Toad Town,350,352,2,83
158,404,8,Toad Town,352,353,1,83
159,404,8,Toad Town,353,357,4,83
160,404,8,Toad Town,358,359,1,83
161,404,8,Toad Town,357,358,1,83
162,404,8,Toad Town,359,362,3,83
166,415,23,Energy Hold,378,379,1,0
167,415,23,Energy Hold,379,380,1,0
170,493,2,Dimble Wood,133,134,1,51
171,493,2,Dimble Wood,139,146,7,51
172,493,2,Dimble Wood,134,139,5,51
173,493,2,Dimble Wood,146,147,1,51
174,493,2,Dimble Wood,147,149,2,51
175,493,2,Dimble Wood,149,151,2,51
176,493,2,Dimble Wood,151,154,3,51
177,493,2,Dimble Wood,154,156,2,51
179,493,2,Dimble Wood,156,158,2,51
180,493,2,Dimble Wood,158,161,3,51
181,493,2,Dimble Wood,161,162,1,51
185,416,23,Energy Hold,380,381,1,0
186,416,23,Energy Hold,381,382,1,0
187,416,23,Energy Hold,382,384,2,0
189,416,23,Energy Hold,390,391,1,0
190,416,23,Energy Hold,391,392,1,0
192,416,23,Energy Hold,392,393,1,0
194,416,23,Energy Hold,395,396,1,0
196,416,23,Energy Hold,406,407,1,0
201,326,10,Blubble Lake,449,450,1,72
203,404,8,Toad Town,340,343,3,83
204,404,8,Toad Town,343,349,6,83
205,404,8,Toad Town,349,350,1,83
208,404,8,Toad Town,364,367,3,83
212,402,7,Tunnel,367,370,3,60
214,402,7,Tunnel,370,373,3,60
215,402,7,Tunnel,373,374,1,60
216,402,7,Tunnel,374,376,2,60
217,402,7,Tunnel,376,378,2,60
224,416,23,Energy Hold,384,390,6,0
226,416,23,Energy Hold,393,395,2,0
228,416,23,Energy Hold,396,405,9,0
229,416,23,Energy Hold,405,406,1,0
230,416,23,Energy Hold,407,411,4,0
231,416,23,Energy Hold,411,417,6,0
235,319,8,Toad Town,315,316,1,58
236,404,8,Toad Town,332,334,2,83
238,404,8,Toad Town,334,335,1,83
239,404,8,Toad Town,335,336,1,83
240,404,8,Toad Town,336,340,4,83
243,404,8,Toad Town,362,364,2,70
248,326,10,Blubble Lake,436,438,2,72
249,326,10,Blubble Lake,436,438,2,72
252,326,10,Blubble Lake,445,447,2,72
253,326,10,Blubble Lake,445,447,2,72
260,326,10,Blubble Lake,447,449,2,72
262,326,10,Blubble Lake,432,434,2,72
263,326,10,Blubble Lake,434,436,2,72
265,394,10,Blubble Lake,464,465,1,74
266,394,10,Blubble Lake,468,469,1,74
267,417,23,Energy Hold,417,419,2,0
268,417,23,Energy Hold,419,422,3,0
269,417,23,Energy Hold,422,424,2,0
270,417,23,Energy Hold,424,428,4,0
271,417,23,Energy Hold,428,430,2,0
273,326,10,Blubble Lake,438,439,1,72
274,326,10,Blubble Lake,439,442,3,72
275,326,10,Blubble Lake,442,445,3,72
280,326,10,Blubble Lake,450,454,4,72
281,326,10,Blubble Lake,454,464,10,72
284,394,10,Blubble Lake,465,468,3,74
287,319,8,Toad Town,303,305,2,58
288,319,8,Toad Town,305,307,2,58
290,319,8,Toad Town,313,315,2,58
292,319,8,Toad Town,316,318,2,58
293,319,8,Toad Town,318,324,6,58
294,319,8,Toad Town,324,330,6,58
295,319,8,Toad Town,330,332,2,58
303,319,8,Toad Town,307,313,6,58
304,326,10,Blubble Lake,469,471,2,72
305,326,10,Blubble Lake,471,476,5,72
306,326,10,Blubble Lake,476,478,2,72
307,326,10,Blubble Lake,478,482,4,72
309,334,9,Tower of Yikk,633,636,3,58
325,408,5,Bowser Path,235,237,2,58
328,326,10,Blubble Lake,445,447,2,72
332,417,23,Energy Hold,430,432,2,0
339,68,4,Plack Beach,60,62,2,49
340,68,4,Plack Beach,62,65,3,49
342,407,4,Plack Beach,65,68,3,49
350,611,3,Cavi Cape,638,643,5,66
351,611,3,Cavi Cape,643,647,4,66
352,611,3,Cavi Cape,648,649,1,66
353,611,3,Cavi Cape,649,653,4,66
354,611,3,Cavi Cape,654,657,3,66
355,611,3,Cavi Cape,647,648,1,66
356,407,4,Plack Beach,73,74,1,49
358,407,4,Plack Beach,74,75,1,49
367,407,4,Plack Beach,75,76,1,49
369,616,6,Bowser Castle,302,303,1,53
371,616,6,Bowser Castle,282,284,2,53
372,616,6,Bowser Castle,284,288,4,53
373,616,6,Bowser Castle,299,302,3,53
374,407,4,Plack Beach,68,71,3,49
375,407,4,Plack Beach,71,73,2,49
376,493,2,Dimble Wood,92,97,5,51
377,615,24,Airway,484,485,1,0
378,615,24,Airway,485,488,3,0
379,615,24,Airway,488,491,3,0
380,615,24,Airway,492,493,1,0
381,615,24,Airway,493,496,3,0
382,615,24,Airway,496,502,6,0
386,615,24,Airway,482,484,2,0
387,615,24,Airway,502,505,3,0
388,615,24,Airway,491,492,1,0
389,616,6,Bowser Castle,261,265,4,53
392,493,2,Dimble Wood,162,164,2,51
393,493,2,Dimble Wood,166,168,2,51
395,493,2,Dimble Wood,168,169,1,51
396,616,6,Bowser Castle,293,299,6,53
399,493,2,Dimble Wood,165,166,1,51
400,493,2,Dimble Wood,169,171,2,51
405,613,1,Peach's Castle,611,617,6,68
409,493,2,Dimble Wood,164,165,1,51
410,616,6,Bowser Castle,288,290,2,53
411,616,6,Bowser Castle,290,293,3,53
412,493,2,Dimble Wood,169,171,2,51
414,613,1,Peach's Castle,632,633,1,68
419,609,1,Peach's Castle,564,566,2,56
420,609,1,Peach's Castle,566,567,1,56
423,613,1,Peach's Castle,632,633,1,68
425,613,1,Peach's Castle,601,603,2,68
426,613,1,Peach's Castle,603,607,4,68
431,613,1,Peach's Castle,595,601,6,68
432,610,1,Peach's Castle,581,582,1,56
434,610,1,Peach's Castle,582,583,1,56
435,610,1,Peach's Castle,583,584,1,56
436,610,1,Peach's Castle,584,585,1,56
437,610,1,Peach's Castle,585,587,2,56
439,610,1,Peach's Castle,587,590,3,56
442,610,1,Peach's Castle,590,591,1,56
443,610,1,Peach's Castle,591,592,1,56
444,610,1,Peach's Castle,592,593,1,56
445,610,1,Peach's Castle,593,595,2,56
447,609,1,Peach's Castle,559,561,2,56
448,609,1,Peach's Castle,561,563,2,56
449,609,1,Peach's Castle,563,564,1,56
450,609,1,Peach's Castle,567,568,1,56
452,609,1,Peach's Castle,568,569,1,56
453,609,1,Peach's Castle,569,570,1,56
454,609,1,Peach's Castle,570,571,1,56
456,609,1,Peach's Castle,571,574,3,56
458,609,1,Peach's Castle,574,575,1,56
464,609,1,Peach's Castle,575,576,1,56
465,609,1,Peach's Castle,576,577,1,56
466,609,1,Peach's Castle,577,579,2,56
467,609,1,Peach's Castle,579,580,1,56
468,609,1,Peach's Castle,580,581,1,56
471,608,1,Peach's Castle,533,535,2,56
